           1           1           0         181
   6.283185    
   2.722714     (-8.139796,0.8925693)
   2.757620     (-8.264457,0.8753350)
   2.792527     (-8.385821,0.8585132)
   2.827433     (-8.503856,0.8421129)
   2.862340     (-8.618502,0.8261660)
   2.897247     (-8.729738,0.8106798)
   2.932153     (-8.837467,0.7956700)
   2.967060     (-8.941671,0.7811615)
   3.001966     (-9.042224,0.7671674)
   3.036873     (-9.139169,0.7536978)
   3.071780     (-9.232373,0.7407824)
   3.106686     (-9.321686,0.7284518)
   3.141593     (-9.407196,0.7166650)
